,text_id,text,task_1,task_2,task_3
2111,hasoc_en_2112,What a great ful innings from our team india #MenInBlue  #DhoniKeepsTheGlove #shockedkohilbydhonisix https://t.co/O0Gnre0mzt,NOT,NONE,NONE
2112,hasoc_en_2113,"#ShameOnICC   - ICC is earning billions from this event, but #ICC could have managed the event in much better way and could win #CricketWorldCup19 https://t.co/lUOja0A70D",NOT,NONE,NONE
2113,hasoc_en_2114,@ICC  has insulted our Army and MSDhoni. As a proud Indian should we #BoycottWorldCup or not? My opinion is Yes.  #DhoniKeepTheGlove  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #DhoniKeepTheGloves  #IndiaWithDhoni  #INDvAUS  #INDvsAUS,NOT,NONE,NONE
2114,hasoc_en_2115,Photograph from yesterday.     Emergency OT services at Murshidabad Medical College continue.    #DoctorsFightBack   #SaveTheDoctors https://t.co/nr63tqIjN1,NOT,NONE,NONE
2115,hasoc_en_2116,Nation respect is more than cricket #DhoniKeepsTheGlove,NOT,NONE,NONE
2116,hasoc_en_2117,Team Anna Faris 😒 #douchebag https://t.co/df0EfUQbCA,NOT,NONE,NONE
2117,hasoc_en_2118,We’ll be outside Speaker Pelosi’s SF office demanding an #impeachmentinquirynow on Friday @ 12:00pm. Dressed as Founding Fathers. Of course.    #resist #resistance #fucktrump #impeachtrump #impeach #impeachment #itmfa… https://t.co/1ZEAREdNlj,NOT,NONE,NONE
2119,hasoc_en_2120,@realDonaldTrump Happy #JohnMcCainDay! #TrumpForPrison  #TrumpIsATraitor #TrumpIsNotAboveTheLaw #TrumpCrimeFamily,NOT,NONE,NONE
2120,hasoc_en_2121,India is about 13 times bigger than United Kingdom. While UK spends 9.8% on health (and still underfunded) India spends a mere 1.4% of it's GDP amd blames doctors for everything that's wrong in the system.     #DoctorsFightBack #DoctorsStrike,NOT,NONE,NONE
2121,hasoc_en_2122,@MysterySolvent #FuckTrump who gives a shit what he does! #June14thJohnMcCainDay,NOT,NONE,NONE
2122,hasoc_en_2123,@BleacherReport @brhoops Literally have seen 7th grade girls basketball with FAR better shooting technique and overall look than this bozo.  #douchebag,NOT,NONE,NONE
2123,hasoc_en_2124,"If Army is not a part of any political party, then i believe every political parties should support dhoni for wearing #BalidanBadge #DhoniKeepsTheGlove",NOT,NONE,NONE
2124,hasoc_en_2125,Funny how the attacks on doctors are all happening in non-BJP states and the media is deciding to be silent on the matter! #DoctorsFightBack #BengalViolence #Kerala #DoctorsProtest https://t.co/RfkER321P2,NOT,NONE,NONE
2125,hasoc_en_2126,If it wasn't so serious it would be hilarious ...    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollocksToBrexit https://t.co/02iZJRJPKM,NOT,NONE,NONE
2126,hasoc_en_2127,Even John Barron &amp; John Miller call BS. #douchebag #POTUS https://t.co/lPm7UGG52W,NOT,NONE,NONE
2127,hasoc_en_2128,"@ABC @GStephanopoulos LMAO HE BELIEVED A LYING #MURDERER! THE #STUPIDTY! You promised you'd release tax returns, OOOOOPS!",NOT,NONE,NONE
2128,hasoc_en_2129,"#liarSarahHuckabeeSanders is leaving #fakeDonaldTrump's administration!  About time.  So sick of listening to her lies.  Too bad we still have to listen to #idiotTrump's lies, you know, when any words are falling from his mouth or he is tweeting - those lies.  #ImpeachTrumpNow",NOT,NONE,NONE
2129,hasoc_en_2130,‘Home they brought her warrior dead.. She nor swooned nor uttered cry’ - Alfred Lord Tennyson..    She didn’t cry coz she was a warrior too..    He died of assault from the same people he tried to save..     #DoctorsFightBack,NOT,NONE,NONE
2130,hasoc_en_2131,After reading this article I had to vomit 🤮 #TrumpIsATraitor https://t.co/1ItNfUDNbO,NOT,NONE,NONE
2131,hasoc_en_2132,Another example of blatant hypocrisy from @BorisJohnson     @Conservatives you’ve lost my vote  #C4LeadershipDebate   #BorisJohnsonShouldNotBePM https://t.co/RWttc3mt09,NOT,NONE,NONE
2132,hasoc_en_2133,#TrumpisaTraitor. Stop trying to lead us into a war based on lies to cover up your crimes and treason! We are watching! https://t.co/OudBZfqwPm,NOT,NONE,NONE
2133,hasoc_en_2134,'I'm not from Central Casting'  It seems Sajid javid has hired some American campaign consultants.   #C4debate #ToryLeadershipContest #Conservatives #BorisJohnsonShouldNotBePM https://t.co/dxAEzkkEcM,NOT,NONE,NONE
2134,hasoc_en_2135,"@realDonaldTrump Donald, you went on TV and admitted that you would readily take help from foreign sources to win elections. You are GUILTY of collusion! The Steele Dossier was paid for and instituted by Republicans. #TrumpLies #TrumpIsAFraud #TrumpIsATraitor #ImpeachDonaldTrump",NOT,NONE,NONE
2135,hasoc_en_2136,Have we failed our Doctors? https://t.co/4OTEkcOB7A via @wordpressdotcom   #DoctorsFightBack #DoctorStrike #WestBengal,NOT,NONE,NONE
2136,hasoc_en_2137,#ShameOnICC #CWC19 #CWC2019     *Rain Conditions Explained* https://t.co/Sfi4pzuxIX,NOT,NONE,NONE
2137,hasoc_en_2138,"Protest against Mamta Banerjee and effigy burning in SCB Medical College, Cuttack, odisha.  #DoctorsFightBack   #standwithNRS   #SaveBengal   #Savethedoctors https://t.co/Pqf2lPoPdW",NOT,NONE,NONE
2138,hasoc_en_2139,@DisavowTrump20 @Michael48884043 @saragideon I will protect #RobertMueller at all costs. #TrumpColluded #TrumpIsATraitor,NOT,NONE,NONE
2139,hasoc_en_2140,The danger of #PoliticalCorrectness lies in its ability to silence the #Truth    It is a sophisticated form of #Hypocrisy which resulted in #Trump    #TrumpIsATraitor #TrumpResign #Resisters #ResistersForum #FBResistance #FBRParty #TheResistanceRises #BlueWave #BlueWave2020 #VoteBlue https://t.co/tqCYQER0L1,NOT,NONE,NONE
2140,hasoc_en_2141,Rain may dampen Star's plans to earn around ₹100 cr from India-Pak WC match #CricketWorldCup2019 #INDvsPAK #ShameOnICC #hotstar #IndianCricketTeam https://t.co/quAs7wiWet,NOT,NONE,NONE
2141,hasoc_en_2142,Thank you @BCCI for standing by @msdhoni's decision #DhoniKeepsTheGlove #IndiaWithDhoni #DhoniKeepTheGlove #CWC19 #MSDhoni #Dhoni #Mahi #CaptainCool #WhistlePodu #Yellove #keepthegloves #BalidaanBadge #BalidanBadge,NOT,NONE,NONE
2142,hasoc_en_2143,"#ShameOnICC  It is really heartbreaking for every cricket fan around the world. Shame on @ICC that they didn't keep any reserve day for washed out matches.. England witnesses rain during this time so the @ICC must have kept numerous options but they failed , ruined CWC 2019.😠😡",NOT,NONE,NONE
2143,hasoc_en_2144,#shameonicc Breaking News - ICC seriously thinking of Book Cricket World Cup.,NOT,NONE,NONE
2144,hasoc_en_2145,@AjayKushwaha_ @realDonaldTrump PRESIDENTIAL HARASSMENT:   @realDonaldTrump asking @BarackObama for his birth certificate for YEARS !!! while hiding his own #taxreturns     #Resistance #LockThemAllUp #FuckTrump #ComplicitGOP #Resist      https://t.co/lF2am3njsh,NOT,NONE,NONE
2145,hasoc_en_2146,"@cricketworldcup @niallnobiobrien Concentrate on Weather condition and location, not on Dhoni’s glows #DhoniKeepsTheGlove",NOT,NONE,NONE
2146,hasoc_en_2147,Enact the FIRE Act to Require Political Campaigns Disclose Foreign Contacts: https://t.co/8cnZf9tAI3 #TrumpIsATraitor #ForeignInterference,NOT,NONE,NONE
2147,hasoc_en_2148,Especially #BorisJohnsonShouldNotBePM https://t.co/81Ldki3qGH,NOT,NONE,NONE
2148,hasoc_en_2149,Jamshedpur State Doctors stands in solidarity with their West Bengal counterparts  #DoctorsFightBack,NOT,NONE,NONE
2149,hasoc_en_2150,@GOPLeader @SusanWBrooks #HappyJohnMcCainDay   🙌🏻🙌🏻🙌🏻🙌🏻💙🙌🏻💙🙌🏻🙌🏻💙🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻💙💙💙💙🙌🏻    #TrumpIsATraitor  and so are you KEVIN,NOT,NONE,NONE
2150,hasoc_en_2151,"@realDonaldTrump #FridayMotivation?  Correct #Trump.    He wrote,  “The dishonest media will NEVER keep us from accomplishing our objectives on behalf of our GREAT AMERICAN PEOPLE! #MAGA”  I say,  “Dishonest Trump will NEVER keep us from from restoring DEMOCRACY on behalf of all Americans!”    #FuckTrump https://t.co/eDOGNKbkjM",NOT,NONE,NONE
2151,hasoc_en_2152,This week marks 25 years since the killings of #NicoleBrownSimpson &amp; #RonGoldman for which @TheRealOJ32 now has a @twitter acct. #murderer was charged with murder &amp; found not guilty at his criminal trial. BLOCK HIM &amp; follow @KimEGoldman  https://t.co/UmcYGYylSW via @frednewspost,NOT,NONE,NONE
2152,hasoc_en_2153,Arrogant @BorisJohnson refuses to turn up to #C4debate. Is he allergic to debates and hustings? #BorisJohnsonShouldNotBePM,NOT,NONE,NONE
2153,hasoc_en_2154,@campbellclaret The irony of this!!!     #murderer,NOT,NONE,NONE
2154,hasoc_en_2155,#DhoniKeepsTheGlove  #DhoniKeSaathDesh  #IndiaWithDhoni    What you support ?,NOT,NONE,NONE
2155,hasoc_en_2156,#ShameOnICC what a arrangement..,NOT,NONE,NONE
2156,hasoc_en_2157,@realDonaldTrump It was a Miracle.   A Russian Miracle!  #TrumpIsATraitor,NOT,NONE,NONE
2157,hasoc_en_2158,Ex-WH counsel plans to tell Congress he sees similarities between Nixon and Trump #Resist #ResistTrump #FuckTrump https://t.co/AyNjX8wRLv,NOT,NONE,NONE
2158,hasoc_en_2159,Former Trump advisor George Nader ordered jailed until his child porn trial #Resist #ResistTrump #FuckTrump https://t.co/ALmbyrvo9P,NOT,NONE,NONE
2159,hasoc_en_2160,#FUCKtrump Jackie O didn’t do Lesbian Porno movies.,NOT,NONE,NONE
2160,hasoc_en_2161,@ICC has no problem with the entire Pakistan cricket team marking territory by praying on the cricket field (part of Muslim ritual prayer) but find insignia on  @MSDhoni  's gloves inappropriate.  https://t.co/JmXHS0N403 #DhoniKeepsTheGlove,NOT,NONE,NONE
2161,hasoc_en_2162,However doctors are ready for open healthy discussion with the CM and are willing to resolve the matter as soon as possible. But it has to be open and transparent. #DoctorsProtest #SaveTheSaviours #Savethedoctors #DoctorsFightBack,NOT,NONE,NONE
2162,hasoc_en_2163,@realDonaldTrump You don't have any friends!  #FUCKTRUMP #RESIST #VETSAGAINSTTRUMP #JohnMcCainDay,NOT,NONE,NONE
2163,hasoc_en_2164,⁦@realDonaldTrump⁩ puts GOP in tough spot with remarks on foreign 'dirt' #TrumpIsATraitor #TrumpRussiaCollusion #PutinsPuppet  https://t.co/EqGikBelo3,NOT,NONE,NONE
2164,hasoc_en_2165,"When you’re more interested about stopping leaks then doing something to improve, you’re the same as Nixon!  #TrumpIsATraitor #TrumpMustGo    Trump campaign fires multiple pollsters after unflattering numbers leak  https://t.co/rnUgWuf4HH",NOT,NONE,NONE
2165,hasoc_en_2166,#boss da.. #DhoniKeepsTheGlove #MSDHONI is forever #Goat for me... 😎😎  @msdhoni #CWC19 @cricketworldcup https://t.co/vjqYfFYmJ4,NOT,NONE,NONE
2166,hasoc_en_2167,"The theme song for this World Cup should be Rain, Rain go away come again another day, little spectators want their big stars to play.    Carrying the same, here is something humorous. Let's break the monotony😅🤟🏻  #ShameOnICC #CWC19 #rain  #ICCWorldCup2019  https://t.co/5AI9j5cTL5",NOT,NONE,NONE
2167,hasoc_en_2168,"@realDonaldTrump 'Presidential' incompetence, corruption, and treason!!!!  #Tre45on  #FuckTrump  #ResistFascism  #BillionDollarLoser  #ImpeachTrumpNow  #25thAmendmentNow https://t.co/OQLnxjjxwX",NOT,NONE,NONE
2168,hasoc_en_2169,#murderer American hunter says she has no regrets about killing a black giraffe https://t.co/c23ulj11r6 via https://t.co/TPRJZbEWdA,NOT,NONE,NONE
2169,hasoc_en_2170,Watching #Charmed because #charmedreboot put me back in the mood. Was not prepared for the #dream #rapist episode. @DohertyShannen acted the fudge out of that episode. #StrongWoman,NOT,NONE,NONE
2170,hasoc_en_2171,And the World Cup goes to ICC !!!  #ShameOnICC @ICC,NOT,NONE,NONE
2171,hasoc_en_2172,"@realDonaldTrump A special day, for an extra-special scumbag.  #Trump #TrumpIsATraitor #HappyBirthdayMrPresident   #potus #FridayFeeling #FridayMotivation     https://t.co/q3ScQULIO3",NOT,NONE,NONE
2172,hasoc_en_2173,#DoctorsFightBack  How it                       How Mamta   actually is                Banerjee sees it https://t.co/ovCaeh4xE8,NOT,NONE,NONE
2173,hasoc_en_2174,"Why they not put the covers in all over the ground, and who make the schedule of world cup ... Dont you knw the weather forcasting before 😕    #ShameOnICC",NOT,NONE,NONE
2174,hasoc_en_2175,"The CM of the State, also the Health Minister, and such a ruthless response to the State Governer?? @MamataOfficial has completely lost the #WestBengal The situation is worse than what is actually looks from the videos/pictures at Social media &amp; News #DoctorsFightBack #SaveBengal https://t.co/4wz5uHDCUv",NOT,NONE,NONE
2175,hasoc_en_2176,@texasnana2019 Tell that to #Trump. Too many of you have led him to believe they’re on AT LEAST equal footing. #TrumpIsATraitor #TrumpCrimeFamily,NOT,NONE,NONE
2176,hasoc_en_2177,#Sachin Tandolker : a Biography || #ParallelMedia | https://t.co/UHegopogBS via @YouTube  #IndiaWithDhoni  #WWESSD  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #BharatRoarsOnDay3  #Kundru  #BIGDAYSGAZEONTANHAJI  #KNACKDHANUSHBIRTHDAYIN50D   #Thiem  #SaketKumar,NOT,NONE,NONE
2177,hasoc_en_2178,We stand with @msdhoni infact #indiastandswithdhoni  #DhoniKeepsTheGlove https://t.co/pOVVKZK7wy,NOT,NONE,NONE
2178,hasoc_en_2179,Who's your favorite going into the #DemDebate ? #2020Election #fucktrump #resist #progressive,NOT,NONE,NONE
2179,hasoc_en_2180,CM of WB will never dare to do the right thing..catch the Gunda.  How can a dictator who has lost her mind arrest Gunda? She can't arrest her own voters even if they murder doctors. Everything is allowed for voters. No level. Too low #DoctorsFightBack,NOT,NONE,NONE
2180,hasoc_en_2181,Brexit on WTO terms?    Great news for jam lovers ..  https://t.co/YDgVsE4BDs    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/xO989Qy1RM,NOT,NONE,NONE
2181,hasoc_en_2182,"#BCCI You guys are truly assamed of you the indipendent body and representing the country whose has this much cricket fans,   Be strict and stand with #DhoniKeepsTheGlove ,",NOT,NONE,NONE
2182,hasoc_en_2183,@peterdaou @DisTrumpia He isn't. #TrumpIsATraitor,NOT,NONE,NONE
2184,hasoc_en_2185,@jlmcwebb @ScoutSteveR Would make perfect sense if it was #douchebag,NOT,NONE,NONE
2185,hasoc_en_2186,"Trump (since March): No collusion, no coullusion!    Trump (Now): Anyone down to collude? Anyone? I won't call the FBI, I promise! #TrumpIsATraitor https://t.co/i2WdQLqcSd",NOT,NONE,NONE
2187,hasoc_en_2188,#ShameOnICC Good point raised on Indian TV - @ICC takes a bigger load of money from India and robs the Indian fans of WC experience - so Indians are being robbed twice!! Shame on @BCCI for letting ICc get away @KirenRijiju Why should a toothless org like @ICC run the game?,NOT,NONE,NONE
2188,hasoc_en_2189,#INDvAUS #DhoniKeepsTheGlove Dhoni's change of gloves had no adverse effects on him or team India.,NOT,NONE,NONE
2189,hasoc_en_2190,@MamataOfficial Didi your contentious comment 'Outsiders' had created a chaos all around #Bengal &amp; the healthcare service in the country have been badly disrupted and many people are dying because of the absence of the doctors.  #BengalBurning   #BengalViolence   #DoctorsFightBack,NOT,NONE,NONE
2190,hasoc_en_2191,#DoctorsFightBack     Parents reaction when a doctor returns home safely in Bengal https://t.co/Tp4zm1PMjy,NOT,NONE,NONE
2191,hasoc_en_2192,"#DhoniKeepsTheGlove if ICC does not allow, wear a #BalidanBadge 'Locket' @msdhoni. Also urge all proud Indian viewers to display posters of batch in Pak match. Jai Hind..",NOT,NONE,NONE
2192,hasoc_en_2193,"Chances are @ICC might also censure/ban cricketers to not have photos of their Gods in their kits, fearing that they might be merging religion &amp; sport, not caring about the athlete’s own personal &amp; religious beliefs. #DhoniKeepsTheGlove @BDUTT https://t.co/dWOQGlcq5T https://t.co/8PciXpjrmZ",NOT,NONE,NONE
2193,hasoc_en_2194,A straight couple behaving badly caused the panicked stampede at DC’s Pride parade #Resist #ResistTrump #FuckTrump https://t.co/6QVcCp4wyX,NOT,NONE,NONE
2194,hasoc_en_2195,Today's is Trumps' birthday so lets make this a TRUMP FREE day. After this post I will NOT post anything about Trump all weekend. #fucktrump #impeachtrump #impeach45 #boycotttrump https://t.co/GFEF46wfCS,NOT,NONE,NONE
2195,hasoc_en_2196,#ShameOnICC thank you for ruining the most awaited tournament in India @ICC,NOT,NONE,NONE
2196,hasoc_en_2197,#IndiaWithDhoni #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh Useless issue created by ICC. https://t.co/B4lpxaDyOY,NOT,NONE,NONE
2197,hasoc_en_2198,@NYCMayor @NYCSpeakerCoJo @Dromm25 @NYCCouncil More subsidies for illegal aliens?  #Douchebag,NOT,NONE,NONE
2198,hasoc_en_2199,This woman is completely out of her mind. She has lost it all. Such a shame. #DoctorsStrike   #SaveTheDoctors   #DoctorsFightBack https://t.co/IsagyI6fZ8,NOT,NONE,NONE
2199,hasoc_en_2200,@realDonaldTrump Doesn’t that mean half the country HATES you?  #FUCKTRUMP,NOT,NONE,NONE
2200,hasoc_en_2201,BBC News - #RedChina’s history of extraordinary #rendition https://t.co/wlQGJSZh4h #BoycottChina #HongKong,NOT,NONE,NONE
2201,hasoc_en_2202,Have a great day!    #fucktrump,NOT,NONE,NONE
2202,hasoc_en_2203,@CarolinePidgeon scrutinised and endured @BorisJohnson wasting public money. The role of a politician includes ensuing public money is not wasted. For that alone he should be fired! Recall petition in Uxbridge please! Not convinced? Read on... #BorisJohnsonShouldNotBePM https://t.co/I9FyZfgTBc,NOT,NONE,NONE
2203,hasoc_en_2204,#DhoniKeepsTheGlove     Dear @ICC this is not any promotion which @msdhoni is doing. He is supporting Indian Army and our soldiers. @BCCI it is request to no ask Mr Dhoni to remove. We are proud of him and our brave soldiers. It will not be dropped from his gloves.,NOT,NONE,NONE
2204,hasoc_en_2205,The entire nation will respect these doctors if they continue to serve patients in the same hospitals even after their resignation #DoctorsFightBack https://t.co/s175eS5M2I,NOT,NONE,NONE
2205,hasoc_en_2206,"Not 500 doctors, these 500 are medical college faculties - Professors, Associate and Assisatant Professors with years of experience. It’ll take 25 yrs for the govt to replace them 🤷🏻‍♂️   #DoctorsFightBack https://t.co/reCztnBubT",NOT,NONE,NONE
2206,hasoc_en_2207,"Some things are wrong in absolute. Kiski Sarkar k time hua, uske pehle kya hua thha, kis context me hua thha ye game khelna band kare.   #DoctorsFightBack #Savethedoctors",NOT,NONE,NONE
2208,hasoc_en_2209,Restore justice to #Doctor'sFraternity  #DoctorsFightBack #SaveTheDoctors #IstandwithNRS https://t.co/CEz9Meb9K3,NOT,NONE,NONE
2209,hasoc_en_2210,This world cup is trying to compete with 2007 world cup for being most boring and unsuccessful world cup #ShameOnICC,NOT,NONE,NONE
2210,hasoc_en_2211,@Annette_Meisner He need to help you Cause yo face falling.... #FuckTrump,NOT,NONE,NONE
2211,hasoc_en_2212,Personally I thought @RoryStewartUK came across best on #C4Debate. Given the other candidates represent varying extremes it's nice to see there is still space for someone moderate. Certainly more statesman-like than an empty podium #BorisJohnsonShouldNotBePM,NOT,NONE,NONE
2212,hasoc_en_2213,"There is an upcoming Democratic Debate from 20 candidates in less than a week. And some #Resisters are focused on GFMs, BMCs, Bullying, Outing. We need to ensure we have people who are eligible and are American Citizens to #VoteBlue #TuneOutTheNoise #TrumpResign #TrumpIsATraitor",NOT,NONE,NONE
2213,hasoc_en_2214,"@smiller4002 Hi Scott. Count me in please, and thanks for uniting all #Resisters   #HappyJohnMcCainDay  #HappyJohnMcCainDay   #HappyJohnMcCainDay   #HappyJohnMcCainDayJune14   #FuckTrump",NOT,NONE,NONE
2214,hasoc_en_2215,"Advice to #Doctors going on Strike, instead they should refuse to attend @MamataOfficial's #Government officials and elected representatives of the people. Why people suffer for no fault of theirs.  #DoctorsFightBack   @BJP4India @drharshvardhan   @jpgoswami_delhi @baldev_bahl",NOT,NONE,NONE
2215,hasoc_en_2216,Everyone concerned about the doctors strike and issues they raise must also read this.     #DoctorsFightBack #DoctorStrike https://t.co/wnY9p9TqIY,NOT,NONE,NONE
2216,hasoc_en_2217,"@JohnnyMercerUK Be honest - would you have wanted @BorisJohnson as your commanding officer while you were in the army? Your life in his lazy, lying, sloppy, self-serving, self-indulgent hands? Of course you wouldn't - so why back him to lead the country? #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
2217,hasoc_en_2218,This is really ugly. Hope at least no shower on finals..... #ShameOnICC,NOT,NONE,NONE
2218,hasoc_en_2219,@Nidhi @ShekharGupta There are far more important issues to be reported n sorted out. Leave this to the @BCCI which will definitely come up a better solution than you two poking your noses unnecessarily.  #DhoniKeepsTheGlove #DhoniKeSaathDesh #JusticeForTinkleSharma,NOT,NONE,NONE
2219,hasoc_en_2220,"@___faiiith There's a law being considered to be enacted into the US constitution. Any #rapist who has been found guilty should have their genitals mutilated chemically before being released.  If our #Government could consider such, we may have a solution to rape for fear of being mutilated.",NOT,NONE,NONE
2220,hasoc_en_2221,@TheRealOJ32 @KrisJenner So have you paid anything at all to Mr Goldman yet for killing his son? I doubt it but here you are trying to 'set things straight'. #Murderer,NOT,NONE,NONE
2221,hasoc_en_2222,They say colouring is therapeutic..... I just finished my newest piece and I couldn’t agree more ❤️🤣👊😂🙏    #canadianshatetrump #ResistTogether #fucktrump https://t.co/p7VSz9zexe,NOT,NONE,NONE
2222,hasoc_en_2223,✨NEW✨    Frankie Say Impeach - retro tee!     Get yours here 👉 https://t.co/3eEmeSGtMx    #ImpeachTrump #FuckTrump #ImpeachmentNOW https://t.co/jm8UGnc6AD,NOT,NONE,NONE
2223,hasoc_en_2224,I have never ever seen this kind of world cup.@ICC u should have done better plan.Atleast u can look after the ground by covering complete ground.  #ShameOnICC   U should learn from BCCI management #ipl,NOT,NONE,NONE
2224,hasoc_en_2225,#ShameOnICC ipl planned well or world cup,NOT,NONE,NONE
2225,hasoc_en_2226,Retweet if you have PayPal/CashApp and want me to send you money 💰     Must be following.    #findom #paypig sugar daddy #cuck #moneyslave #cashcow #SugarBabiesNeeded #CopaAmerica #DoctorsFightBack #bank #SugarDaddys #findom #bitcoin #blockchain #BREAKING #SaturdayMorning #money #BC,NOT,NONE,NONE
2226,hasoc_en_2227,"@SethAbramson Trump is operating an international Crime Syndicate within the United States Government. He's feeling the heat, and here's proof of #TraitorTrump's M.O. in a former tweet. #TrumpIsaTraitor #ImpeachTrumpNow https://t.co/wH1chVuzjl",NOT,NONE,NONE
2229,hasoc_en_2230,She has proved the saying of our #Ved... 'Vinaash Kale Vipreit Buddhi' meaning when one's doom approaches..the person intellect works against his/her best interest.     #SaveBengal #SaveTheDoctors #DoctorsFightBack #DoctorsProtest #DoctorsUnderOppression https://t.co/Cr3aSLEBGU,NOT,NONE,NONE
2230,hasoc_en_2231,🔴🏴🐾#OpBeast #AnimalRights #WorldDogShow2019 #China  #YulinDogMeatFestival    Let us become aware of this horrible tradition. Let the international community open its eyes and once we stop the indiscriminate killing of dogs.    #BoycottChina https://t.co/xE0r1USiaG,NOT,NONE,NONE
2231,hasoc_en_2232,"@ChildofGodSandy To Sandra and the rest of the #religious world; You do not know God either, and if you still say you do, prove it!    LGBTs don't ask for #special #rights, they ask for #EQUALITY. Churches have special rights, they don't pay #tax.    I ate an #egg, am I a #chicken-#murderer?",NOT,NONE,NONE
2232,hasoc_en_2233,@lauramkeane @markknoller @TimInHonolulu @KimReynoldsIA Did you read that the 4th of july will be a great big-O'-fundraiser for trumps re election? He also plans to make himself the center of attention.(surprise).  This is his 'parade' he so wants the country to have for him. &amp; since that wont happen. Hes taking this.  #FuckTrump,NOT,NONE,NONE
2233,hasoc_en_2234,NYT: Mexico Had Already Agreed to Border Measures Trump Said Were Taken to Avert Tariffs #Resist #ResistTrump #FuckTrump https://t.co/508FLMjDAh,NOT,NONE,NONE
2234,hasoc_en_2235,@dwancherry I read until I got to the picture of him with the Trump jersey on the wall.  #douchebag,NOT,NONE,NONE
2235,hasoc_en_2236,"#DoctorsUnderOppression @ Baharampore Hospital in #Bengal saying that #TMC MLA Abu Taher Khan &amp; his men entered the hospital &amp; threatened of raping lady doctors, murdering male doctors &amp; said it'll be done such way, none can trace bodies.  #DoctorsFightBack #DoctorsProtest https://t.co/OuXOeRnskU",NOT,NONE,NONE
2236,hasoc_en_2237,"oi check shirt man , when you say “this country” do you mean Wales?no? Didn’t think so #dickhead @bbcqt",NOT,NONE,NONE
2237,hasoc_en_2238,Every one in the country is aware if what's happening with doctors in west Bengal &amp; in India &amp; this is no way any ruling government should treat it's people.   It's high time people speak up &amp; this is should not die down easily.   #DoctorsFightBack #Kolkata #India,NOT,NONE,NONE
2238,hasoc_en_2239,Even #Dhoni couldn’t have imagined that our media will go for such high TRP by taking this #DhoniKeepsTheGlove issue to prime time !! If army is our pride then our current missing plane must be at our prime time  and game yes we will win 🤩🤩#INDvAUS #AUSvIND #icc,NOT,NONE,NONE
2239,hasoc_en_2240,#EastTurkistan Demonstration against Beijing Olympic (Japan)  https://t.co/GHhNTmpunA  #Uyghur #FreeUyghur #China #CCP #BoycottChina #ウイグル #RT,NOT,NONE,NONE
2240,hasoc_en_2241,"@ICC to BCCI:: Sorry we cant allow Ms Dhoni to keep the Army Gloves.    @BCCI reply:: Salaam thok, Sar Jhuka, Tu dum daba, Chal Rasta naap le..     #BalidanBadge #BalidanInsignia   #MSDHONI #IndiaWithDhoni #DhoniKeepsTheGlove #DhoniKeSathDesh   #BoycottWorldCup",NOT,NONE,NONE
2241,hasoc_en_2242,And he is so called people's representative   #Savethedoctors #DoctorsFightBack   #istandwithnrs https://t.co/2cVLtSELhx,NOT,NONE,NONE
2242,hasoc_en_2243,Congressman says he supports prison for people who get abortions #Resist #ResistTrump #FuckTrump https://t.co/v97wgsRmLn,NOT,NONE,NONE
2243,hasoc_en_2244,Can't wait to see who'll be the new #Tory (unelected yet again) PM #ToryLeadeshipContest says me never 😝 if #Boris et al are anything to go by #BorisJohnsonShouldNotBePM really do hope there's life on Mars 💨💨🔥🚀,NOT,NONE,NONE
2244,hasoc_en_2245,"@narendramodi @AmitShah @Dev_Fadnavis Sir i am a medical student and after all is happening in kolkata i no more feel safe being a doctor .Every human has the basic right to have protection when threatened ,why we doctor's are being denied of that #SAVEDOCTORS #DoctorsFightBack",NOT,NONE,NONE
2245,hasoc_en_2246,"I’m a comedian and as a group we’re: selfish, chaotic, narcissistic, disorganised, needy and entirely self obsessed. I wouldn’t trust a comedian with anything apart from a microphone and an audience.    And those are the exact reasons why #BorisJohnsonShouldNotBePM",NOT,NONE,NONE
2246,hasoc_en_2247,@ICC wants to make happy each and every WC playing country thats why their made schedule according to rain so that every country score point.👺    #ShameOnICC   @BCCI   @englandcricket,NOT,NONE,NONE
2247,hasoc_en_2248,@BDUTT @msdhoni @adgpi #DhoniKeepsTheGlove the stupidity of the demand is only because of the president of ICC - what's next? Get virat and pandya to erase their tattoos???,NOT,NONE,NONE
2248,hasoc_en_2249,another GOOD reason 2 NOT reveal identity of rape accused man!! not only because he might be INNOCENT .. but because people MISTAKE him 4 someone else with same name. PREPOSTEROUS!! karan WAHI #rapist now?    @timesofindia  @vineetjaintimes @ncw @smritiirani https://t.co/oy9omDRqI3,NOT,NONE,NONE
2250,hasoc_en_2251,"The president's comments suggest that he believes winning an election is more important than the integrity of the election, Chuck Schumer said.  #TrumpIsATraitor #Trump #FlagDay #JohnMcCainDay https://t.co/TnahdtWKJG",NOT,NONE,NONE
